UF;COD_UF;CÓDI52;NOME;População;IDHM;IDHM_Renda;IDHM_Longevidade;IDHM_Educação
RO;11;1100015;Alta Floresta D'Oeste;25.578;0.641;0.657;0.763;0.526
RO;11;1100379;Alto Alegre dos Parecis;13.940;0.592;0.603;0.777;0.443
RO;11;1100403;Alto Paraíso;20.210;0.678;0.677;0.829;0.556
RO;11;1100346;Alvorada D'Oeste;17.063;0.643;0.654;0.763;0.534
RO;11;1100023;Ariquemes;104.401;0.702;0.716;0.806;0.600
RO;11;1100452;Buritis;37.838;0.672;0.666;0.815;0.558
RO;11;1100031;Cabixi;6.355;0.650;0.650;0.757;0.559
RO;11;1100601;Cacaulândia;6.367;0.646;0.664;0.801;0.506
RO;11;1100049;Cacoal;87.226;0.718;0.727;0.821;0.620
RO;11;1100700;Campo Novo de Rondônia;14.220;0.593;0.667;0.772;0.404
RO;11;1100809;Candeias do Jamari;24.155;0.649;0.652;0.819;0.512
RO;11;1100908;Castanheiras;3.617;0.658;0.650;0.803;0.547
RO;11;1100056;Cerejeiras;17.986;0.692;0.688;0.799;0.602
RO;11;1100924;Chupinguaia;10.129;0.652;0.659;0.820;0.514
RO;11;1100064;Colorado do Oeste;18.817;0.685;0.676;0.814;0.584
RO;11;1100072;Corumbiara;8.842;0.613;0.630;0.774;0.473
RO;11;1100080;Costa Marques;16.651;0.611;0.616;0.751;0.493
RO;11;1100940;Cujubim;20.974;0.612;0.663;0.789;0.439
RO;11;1100098;Espigão D'Oeste;32.385;0.672;0.691;0.819;0.536
RO;11;1101005;Governador Jorge Teixeira;10.127;0.596;0.627;0.762;0.444
RO;11;1100106;Guajará-Mirim;46.632;0.657;0.663;0.823;0.519
RO;11;1101104;Itapuã do Oeste;9.995;0.614;0.633;0.751;0.488
RO;11;1100114;Jaru;55.738;0.689;0.687;0.825;0.577
RO;11;1100122;Ji-Paraná;130.419;0.714;0.728;0.810;0.617
RO;11;1100130;Machadinho D'Oeste;37.167;0.596;0.629;0.755;0.446
RO;11;1101203;Ministro Andreazza;10.823;0.638;0.647;0.776;0.518
RO;11;1101302;Mirante da Serra;12.360;0.643;0.673;0.800;0.494
RO;11;1101401;Monte Negro;15.873;0.607;0.645;0.762;0.454
RO;11;1100148;Nova Brasilândia D'Oeste;21.592;0.643;0.664;0.763;0.524
RO;11;1100338;Nova Mamoré;27.600;0.587;0.619;0.769;0.424
RO;11;1101435;Nova União;7.824;0.662;0.624;0.818;0.568
RO;11;1100502;Novo Horizonte do Oeste;10.276;0.634;0.606;0.799;0.527
RO;11;1100155;Ouro Preto do Oeste;39.924;0.682;0.687;0.812;0.569
RO;11;1101450;Parecis;5.697;0.617;0.604;0.800;0.485
RO;11;1100189;Pimenta Bueno;37.512;0.710;0.726;0.803;0.613
RO;11;1101468;Pimenteiras do Oeste;2.424;0.665;0.662;0.816;0.545
RO;11;1100205;Porto Velho;502.748;0.736;0.764;0.819;0.638
RO;11;1100254;Presidente Médici;22.557;0.664;0.671;0.792;0.550
RO;11;1101476;Primavera de Rondônia;3.501;0.641;0.645;0.799;0.512
RO;11;1100262;Rio Crespo;3.750;0.643;0.637;0.813;0.513
